meters,price,bathrooms,category,link,municipality,operation,owner,rooms
146 m²,Precio a consultar,2 baños,Piso,https://www.indomio.es/anuncios/94394451/,Alicante - Alacant,Venta,Ilucant grupo inmobiliario,5
110 m²,€ 225.000,1 baño,Dúplex,https://www.indomio.es/anuncios/94430481/,Alicante - Alacant,Venta,Agencia Inmobiliaria Ojeda,3
178 m²,€ 650.000,2 baños,Piso,https://www.indomio.es/anuncios/95000937/,Alicante - Alacant,Venta,InmoQUEST,6
200 m²,€ 375.000,2 baños,Casa adosada,https://www.indomio.es/anuncios/95011133/,Alicante - Alacant,Venta,New House Alicante,5
93 m²,€ 183.000,1 baño,Piso,https://www.indomio.es/anuncios/95020981/,Alicante - Alacant,Venta,Grupo Arai,4
93 m²,€ 223.600,2 baños,Piso,https://www.indomio.es/anuncios/95204065/,Alicante - Alacant,Venta,Nest Real Estate,4
75 m²,€ 220.000,1 baño,Piso,https://www.indomio.es/anuncios/95205331/,Alicante - Alacant,Venta,Inmobiliaria Blanco,3
177 m²,€ 625.000,2 baños,Piso,https://www.indomio.es/anuncios/95262829/,Alicante - Alacant,Venta,Nat Inmobiliaria,5
88 m²,€ 133.000,1 baño,Piso,https://www.indomio.es/anuncios/95341059/,Alicante - Alacant,Venta,Casalink,4
46 m²,€ 118.000,1 baño,Piso,https://www.indomio.es/anuncios/95362239/,Alicante - Alacant,Venta,Urbanabril Properties Costablancca,3
200 m²,€ 465.000,2 baños,Piso,https://www.indomio.es/anuncios/95397369/,Alicante - Alacant,Venta,Inmobiliaria Aitana,6
300 m² ,€ 1.600.000,3 baños,Casa unifamiliar,https://www.indomio.es/anuncios/94454245/,Alicante - Alacant,Venta,Immo Altea,6
96 m²,€ 183.000,1 baño,Piso,https://www.indomio.es/anuncios/95272293/,Alicante - Alacant,Venta,SB Gest,4
139 m²,€ 265.000,2 baños,Piso,https://www.indomio.es/anuncios/94843663/,Alicante - Alacant,Venta,Easygoing Inmobiliaria,5
132 m²,€ 550.000,2 baños,Piso,https://www.indomio.es/anuncios/95065537/,Alicante - Alacant,Venta,Channel Group,5
77 m²,€ 375.000,2 baños,Piso,https://www.indomio.es/anuncios/95158541/,Alicante - Alacant,Venta,Fincas Hg,4
135 m²,€ 349.965,2 baños,Piso,https://www.indomio.es/anuncios/95454923/,Alicante - Alacant,Venta,CENTURY 21 Mediterranean Homes,5
176 m²,€ 567.000,2 baños,Piso,https://www.indomio.es/anuncios/95321125/,Alicante - Alacant,Venta,SB Gest,6
135 m²,€ 380.000,2 baños,Piso,https://www.indomio.es/anuncios/95972395/,Alicante - Alacant,Venta,Alicante Costa Blanca Home,5
93 m²,€ 96.000,1 baño,Piso,https://www.indomio.es/anuncios/95497689/,Alicante - Alacant,Venta,Nest Real Estate,4
480 m²,€ 850.000,3+ baños,Chalet,https://www.indomio.es/anuncios/95575467/,Alicante - Alacant,Venta,New House Alicante,7
193 m² ,€ 1.350.000,3+ baños,Chalet,https://www.indomio.es/anuncios/95835669/,Alicante - Alacant,Venta,Viva Costa,5
180 m²,€ 600.000,3+ baños,Piso,https://www.indomio.es/anuncios/95605365/,Alicante - Alacant,Venta,Inmobeach,6
66 m²,€ 215.000,,Piso,https://www.indomio.es/anuncios/95656589/,Alicante - Alacant,Venta,IS Real Estate,2
95 m²,,2 baños,Piso,https://www.indomio.es/anuncios/95781227/,Alicante - Alacant,Venta,Fincas Hg,6
88 m²,€ 126.000,1 baño,Piso,https://www.indomio.es/anuncios/95909783/,Alicante - Alacant,Venta,Abarca Servicios Inmobiliarios,4
98 m²,€ 498.000,2 baños,Ático ,https://www.indomio.es/anuncios/95913213/,Alicante - Alacant,Venta,Mar Y Golf Servicios Inmobiliarios,6
95 m²,€ 97.900,,Piso,https://www.indomio.es/anuncios/95661675/,Alicante - Alacant,Venta,Núcleo Inmobiliaria,3
128 m²,€ 245.000,1 baño,Piso,https://www.indomio.es/anuncios/95748575/,Alicante - Alacant,Venta,INMOGLOBAL,3
320 m² ,€ 650.000,3 baños,Chalet,https://www.indomio.es/anuncios/95776297/,Alicante - Alacant,Venta,Anveran Real Estate,9
200 m²,€ 900.000,3 baños,Piso,https://www.indomio.es/anuncios/95753259/,Alicante - Alacant,Venta,INMOGLOBAL,8
127 m² ,€ 570.000,2 baños,Piso,https://www.indomio.es/anuncios/95793581/,Alicante - Alacant,Venta,Safti,6
107 m²,€ 370.000,1 baño,Piso,https://www.indomio.es/anuncios/95802001/,Alicante - Alacant,Venta,InmoQUEST,3
83 m²,€ 145.000,1 baño,Piso,https://www.indomio.es/anuncios/95748579/,Alicante - Alacant,Venta,INMOGLOBAL,3
76 m²,€ 123.000,1 baño,Piso,https://www.indomio.es/anuncios/95848759/,Alicante - Alacant,Venta,Ilucant grupo inmobiliario,4
98 m²,€ 209.000,2 baños,Piso,https://www.indomio.es/anuncios/95957233/,Alicante - Alacant,Venta,Inmo Gallery,6
122 m²,€ 416.500,2 baños,Piso,https://www.indomio.es/anuncios/95991279/,Alicante - Alacant,Venta,Viva Costa,6
155 m²,€ 188.630,1 baño,Piso ,https://www.indomio.es/anuncios/96004063/,Alicante - Alacant,Venta,Franquiciado Tecnocasa: ESTUDIO DESARROLLO PLA-CAROLINAS SLU,2
217 m²,€ 790.000,3 baños,Piso,https://www.indomio.es/anuncios/85023771/,Alicante - Alacant,Venta,Alto Inmobiliaria,7
216 m²,€ 680.000,2 baños,Piso,https://www.indomio.es/anuncios/75576698/,Alicante - Alacant,Venta,Servicasa Elche,7
318 m²,€ 650.000,3+ baños,Piso,https://www.indomio.es/anuncios/94244941/,Alicante - Alacant,Venta,Alispain Properties Costablanca,5
134 m²,€ 360.570,,Edificio,https://www.indomio.es/anuncios/89656427/,Alicante - Alacant,Venta,Inmobiliaria Fidalsa,
150 m²,€ 680.000,2 baños,Piso,https://www.indomio.es/anuncios/81894409/,Alicante - Alacant,Venta,Alcaraz Inmobiliaria,7
,€ 210.000,2 baños,Piso,https://www.indomio.es/anuncios/85672219/,Alicante - Alacant,Venta,Luper Inmobiliaria,5
65 m²,€ 775.000,1 baño,Piso,https://www.indomio.es/anuncios/86437833/,Alicante - Alacant,Venta,Alispain Properties Costablanca,3
,€ 345.000,,Casa unifamiliar,https://www.indomio.es/anuncios/92247739/,Alicante - Alacant,Venta,Immo Altea,2
125 m²,€ 350.000,2 baños,Piso,https://www.indomio.es/anuncios/92689003/,Alicante - Alacant,Venta,Channel Group,5
161 m²,Precio a consultar,,Piso,https://www.indomio.es/anuncios/94394429/,Alicante - Alacant,Venta,Ilucant grupo inmobiliario,
134 m²,€ 360.825,2 baños,Piso,https://www.indomio.es/anuncios/94474235/,Alicante - Alacant,Venta,Grupo Arai,5
267 m²,€ 990.000,3+ baños,Piso,https://www.indomio.es/anuncios/94808631/,Alicante - Alacant,Venta,RE/MAX Inmomás,6
77 m²,€ 164.000,1 baño,Piso,https://www.indomio.es/anuncios/94807145/,Alicante - Alacant,Venta,Fincas Hg,4
343 m² ,€ 1.340.000,3+ baños,Chalet,https://www.indomio.es/anuncios/94836669/,Alicante - Alacant,Venta,Costa Blanca Eiendom,6
476 m²,€ 650.000,,Edificio,https://www.indomio.es/anuncios/94873981/,Alicante - Alacant,Venta,Alto Inmobiliaria,
95 m²,€ 375.000,2 baños,Piso,https://www.indomio.es/anuncios/95065275/,Alicante - Alacant,Venta,InmoQUEST,4
90 m²,€ 194.000,2 baños,Piso,https://www.indomio.es/anuncios/95104837/,Alicante - Alacant,Venta,Arq`s Gestion Inmobiliaria,4
272 m²,€ 990.000,3 baños,Casa adosada,https://www.indomio.es/anuncios/95224655/,Alicante - Alacant,Venta,Martínez Rincón Servicios Inmobiliarios,7
78 m²,€ 140.000,1 baño,Piso,https://www.indomio.es/anuncios/95265739/,Alicante - Alacant,Venta,Twenty Two Real Estate,3
117 m²,€ 164.900,2 baños,Piso,https://www.indomio.es/anuncios/95274065/,Alicante - Alacant,Venta,Buenos Pisos,5
75 m²,€ 330.000,,Piso,https://www.indomio.es/anuncios/95295829/,Alicante - Alacant,Venta,INMOBILIARIA EUROGARDEN,2
109 m²,€ 339.000,2 baños,Piso,https://www.indomio.es/anuncios/95422457/,Alicante - Alacant,Venta,New House Alicante,4
141 m² ,€ 195.000,3 baños,Casa unifamiliar,https://www.indomio.es/anuncios/95717415/,Alicante - Alacant,Venta,Rcinmuebles,7
94 m²,€ 315.000,2 baños,Piso,https://www.indomio.es/anuncios/95262851/,Alicante - Alacant,Venta,Nat Inmobiliaria,4
126 m²,€ 215.000,2 baños,Piso,https://www.indomio.es/anuncios/95268301/,Alicante - Alacant,Venta,Habitalia Alicante,6
120 m²,€ 149.900,2 baños,Piso,https://www.indomio.es/anuncios/95300733/,Alicante - Alacant,Venta,Ilucant grupo inmobiliario,5
92 m²,€ 139.000,1 baño,Piso,https://www.indomio.es/anuncios/95307939/,Alicante - Alacant,Venta,Homes Abroad,3
180 m²,€ 175.410,2 baños,Casa adosada,https://www.indomio.es/anuncios/95314469/,Alicante - Alacant,Venta,FENDUM,5
125 m²,€ 218.000,2 baños,Piso,https://www.indomio.es/anuncios/95338361/,Alicante - Alacant,Venta,Spain Property Shop,6
149 m²,€ 470.000,2 baños,Piso,https://www.indomio.es/anuncios/95346417/,Alicante - Alacant,Venta,Alispain Properties Costablanca,6
74 m²,€ 132.000,1 baño,Piso,https://www.indomio.es/anuncios/95410949/,Alicante - Alacant,Venta,Fincas Hg,4
108 m²,€ 175.000,2 baños,Piso,https://www.indomio.es/anuncios/95446705/,Alicante - Alacant,Venta,Habitalia Alicante,6
177 m²,€ 232.500,2 baños,Piso ,https://www.indomio.es/anuncios/95527515/,Alicante - Alacant,Venta,Franquiciado Tecnocasa: ESTUDIO DESARROLLO LOS ANGELES SLU,5
210 m² ,€ 215.000,2 baños,Casa unifamiliar,https://www.indomio.es/anuncios/95553027/,Alicante - Alacant,Venta,Luper Inmobiliaria,6
200 m²,€ 360.000,3 baños,Chalet,https://www.indomio.es/anuncios/95605153/,Alicante - Alacant,Venta,Inmobeach,8
102 m²,€ 154.600,1 baño,Piso,https://www.indomio.es/anuncios/95734977/,Alicante - Alacant,Venta,Fuentes De Inmuebles,5
219 m²,€ 440.000,3 baños,Casa adosada,https://www.indomio.es/anuncios/95740403/,Alicante - Alacant,Venta,Azulcasa,7
111 m²,€ 269.000,2 baños,Piso,https://www.indomio.es/anuncios/95748353/,Alicante - Alacant,Venta,Azulcasa,5
156 m²,€ 730.000,3 baños,Casa unifamiliar,https://www.indomio.es/anuncios/95765059/,Alicante - Alacant,Venta,Inmobiliaria Casamayor,6
59 m²,€ 179.900,1 baño,Piso,https://www.indomio.es/anuncios/95842907/,Alicante - Alacant,Venta,Mansions.es,2
81 m²,€ 385.000,2 baños,Dúplex,https://www.indomio.es/anuncios/95898759/,Alicante - Alacant,Venta,Mar Y Golf Servicios Inmobiliarios,5
449 m² ,€ 475.000,,Piso,https://www.indomio.es/anuncios/95913511/,Alicante - Alacant,Venta,Bestone,
137 m²,€ 108.000,1 baño,Edificio ,https://www.indomio.es/anuncios/95945727/,Alicante - Alacant,Venta | Alquiler con opción a compra,,1
150 m²,€ 176.000,2 baños,Piso,https://www.indomio.es/anuncios/95995247/,Alicante - Alacant,Venta,Idealpisos,6
574 m² ,€ 299.000,3 baños,Chalet ,https://www.indomio.es/anuncios/86343375/,Alicante - Alacant,Venta | Alquiler con opción a compra,,10
155 m²,€ 385.000,2 baños,Piso,https://www.indomio.es/anuncios/88711881/,Alicante - Alacant,Venta,Alcaraz Inmobiliaria,6
184 m²,€ 330.000,3 baños,Piso,https://www.indomio.es/anuncios/94393955/,Alicante - Alacant,Venta,Ilucant grupo inmobiliario,8
549 m²,€ 1.390.000,3+ baños,Casa unifamiliar,https://www.indomio.es/anuncios/91047251/,Alicante - Alacant,Venta,Expert Estate,4
,€ 279.990,2 baños,Piso,https://www.indomio.es/anuncios/91593251/,Alicante - Alacant,Venta,Luper Inmobiliaria,6
160 m²,€ 410.000,2 baños,Piso,https://www.indomio.es/anuncios/91737039/,Alicante - Alacant,Venta,Solkasa,5
100 m²,€ 249.000,2 baños,Casa unifamiliar,https://www.indomio.es/anuncios/92438879/,Alicante - Alacant,Venta,Alcaraz Inmobiliaria,5
125 m²,€ 431.750,2 baños,Piso,https://www.indomio.es/anuncios/94935147/,Alicante - Alacant,Venta,Alegria Real Estate,6
110 m²,€ 425.000,2 baños,Piso,https://www.indomio.es/anuncios/93932563/,Alicante - Alacant,Venta,Alto Inmobiliaria,5
168 m²,€ 240.000,2 baños,Piso,https://www.indomio.es/anuncios/94152495/,Alicante - Alacant,Venta,Inmobiliaria Casamayor,5
73 m²,€ 157.000,1 baño,Piso ,https://www.indomio.es/anuncios/95734927/,Alicante - Alacant,Venta,Franquiciado Tecnocasa: OFICINA INMOBILIARIA BULEVAR SLU,5
98 m²,€ 265.000,1 baño,Ático,https://www.indomio.es/anuncios/94464193/,Alicante - Alacant,Venta,Premium Property Spain,2
131 m²,€ 247.200,3 baños,Piso,https://www.indomio.es/anuncios/94394347/,Alicante - Alacant,Venta,Ilucant grupo inmobiliario,8
220 m²,€ 245.000,1 baño,Piso,https://www.indomio.es/anuncios/83903489/,Alicante - Alacant,Venta,Alispain Properties Costablanca,5
358 m²,€ 498.000,3 baños,Chalet,https://www.indomio.es/anuncios/87662879/,Alicante - Alacant,Venta,Inmobiliaria Fidalsa,10
225 m² ,€ 489.900,2 baños,Casa unifamiliar,https://www.indomio.es/anuncios/94461951/,Alicante - Alacant,Venta,FENDUM,5
180 m²,€ 450.000,,Edificio,https://www.indomio.es/anuncios/89410919/,Alicante - Alacant,Venta,Urbanabril Properties Costablancca,
158 m² ,€ 1.152.549,2 baños,Casa unifamiliar,https://www.indomio.es/anuncios/95703467/,Alicante - Alacant,Venta,Urbanabril Properties Costablancca,5
140 m²,€ 625.000,2 baños,Piso,https://www.indomio.es/anuncios/93821903/,Alicante - Alacant,Venta,Solkasa,5
110 m² ,€ 270.000,2 baños,Piso,https://www.indomio.es/anuncios/94235753/,Alicante - Alacant,Venta,Safti,6
151 m²,€ 262.000,2 baños,Piso,https://www.indomio.es/anuncios/94423589/,Alicante - Alacant,Venta,Abarca Servicios Inmobiliarios,6
140 m²,€ 595.000,2 baños,Piso,https://www.indomio.es/anuncios/94474223/,Alicante - Alacant,Venta,Grupo Arai,5
388 m²,€ 430.000,3 baños,Casa adosada,https://www.indomio.es/anuncios/95254745/,Alicante - Alacant,Venta,New House Alicante,8
215 m²,€ 140.000,1 baño,Casa unifamiliar,https://www.indomio.es/anuncios/94450339/,Alicante - Alacant,Venta,Luper Inmobiliaria,6
114 m²,€ 295.000,2 baños,Piso,https://www.indomio.es/anuncios/95026001/,Alicante - Alacant,Venta,Fundeco,5
260 m²,€ 765.000,3+ baños,Casa unifamiliar,https://www.indomio.es/anuncios/94764321/,Alicante - Alacant,Venta,New House Alicante,6
340 m² ,€ 495.000,3 baños,Casa unifamiliar,https://www.indomio.es/anuncios/95687651/,Alicante - Alacant,Venta,INMOBILIARIA MEDIMAR,8
119 m² ,€ 495.000,3 baños,Casa unifamiliar,https://www.indomio.es/anuncios/95091999/,Alicante - Alacant,Venta,Immo Altea,6
65 m²,€ 136.500,1 baño,Piso,https://www.indomio.es/anuncios/95095935/,Alicante - Alacant,Venta,YBC Group,3
115 m²,€ 343.500,2 baños,Piso,https://www.indomio.es/anuncios/95132861/,Alicante - Alacant,Venta,S-Villas,5
280 m²,€ 729.000,2 baños,Piso,https://www.indomio.es/anuncios/94652023/,Alicante - Alacant,Venta,Alispain Properties Costablanca,4
130 m²,€ 294.800,2 baños,Piso,https://www.indomio.es/anuncios/94687083/,Alicante - Alacant,Venta,Casas y Pisos Alicante,5
225 m² ,€ 895.000,3+ baños,Chalet,https://www.indomio.es/anuncios/94717529/,Alicante - Alacant,Venta,G- ESTATES Smart Property Investment,8
200 m²,€ 139.900,2 baños,Piso,https://www.indomio.es/anuncios/94733387/,Alicante - Alacant,Venta,Abarca Servicios Inmobiliarios,7
173 m²,€ 390.000,2 baños,Piso,https://www.indomio.es/anuncios/94809425/,Alicante - Alacant,Venta,Solkasa,6
90 m²,€ 127.000,1 baño,Piso,https://www.indomio.es/anuncios/94932349/,Alicante - Alacant,Venta,Albor Inmobiliaria,4
120 m²,€ 180.000,2 baños,Piso ,https://www.indomio.es/anuncios/95091549/,Alicante - Alacant,Venta,Franquiciado Tecnocasa: OFICINA INMOBILIARIA BENALUA SLU,7
92 m²,€ 384.000,2 baños,Piso,https://www.indomio.es/anuncios/95295857/,Alicante - Alacant,Venta,INMOBILIARIA EUROGARDEN,5
109 m²,€ 350.000,2 baños,Piso,https://www.indomio.es/anuncios/95317379/,Alicante - Alacant,Venta,IM Properties Real Estate,5
78 m²,€ 250.000,1 baño,Piso,https://www.indomio.es/anuncios/95388181/,Alicante - Alacant,Venta,YBC Group,2
160 m² ,€ 275.000,2 baños,Casa unifamiliar,https://www.indomio.es/anuncios/95708247/,Alicante - Alacant,Venta,Inmo Mash Alicante,5
140 m² ,€ 429.000,2 baños,Ático,https://www.indomio.es/anuncios/95551707/,Alicante - Alacant,Venta,Costa Blanca Eiendom,5
115 m²,€ 170.000,2 baños,Piso ,https://www.indomio.es/anuncios/95596651/,Alicante - Alacant,Venta,Franquiciado Tecnocasa: ESTUDIO INMOBILIARIO MUSEO ARQUEOLOGICO SLU,4
58 m²,€ 265.000,1 baño,Ático,https://www.indomio.es/anuncios/95832035/,Alicante - Alacant,Venta,Mansions.es,2
91 m²,€ 305.000,2 baños,Ático,https://www.indomio.es/anuncios/95832055/,Alicante - Alacant,Venta,Mansions.es,4
93 m²,€ 305.000,2 baños,Piso,https://www.indomio.es/anuncios/95802021/,Alicante - Alacant,Venta,Embassy Torrevieja Apolo,4
150 m²,€ 332.000,2 baños,Piso,https://www.indomio.es/anuncios/95848445/,Alicante - Alacant,Venta,Azulcasa,5
574 m² ,€ 299.000,3+ baños,Casa unifamiliar,https://www.indomio.es/anuncios/95737627/,Alicante - Alacant,Venta,Housell,8
109 m²,€ 275.000,2 baños,Piso,https://www.indomio.es/anuncios/95602447/,Alicante - Alacant,Venta,Viva Costa,5
250 m²,€ 750.000,3 baños,Piso,https://www.indomio.es/anuncios/95599671/,Alicante - Alacant,Venta,Abarca Servicios Inmobiliarios,8
83 m²,€ 179.900,2 baños,Piso,https://www.indomio.es/anuncios/95773999/,Alicante - Alacant,Venta,,4
55 m²,€ 320.000,2 baños,Piso,https://www.indomio.es/anuncios/95794025/,Alicante - Alacant,Venta,Albor Inmobiliaria,4
80 m²,€ 161.500,1 baño,Piso,https://www.indomio.es/anuncios/95840611/,Alicante - Alacant,Venta,El Nonno Inmobiliaria,3
91 m²,€ 167.500,2 baños,Piso,https://www.indomio.es/anuncios/95915863/,Alicante - Alacant,Venta,Idealpisos,5
380 m²,€ 750.000,3+ baños,Casa unifamiliar ,https://www.indomio.es/anuncios/95917509/,Alicante - Alacant,Venta,MyM Inmobiliaria Gestión Integral,8
112 m²,€ 325.000,2 baños,Piso,https://www.indomio.es/anuncios/95951637/,Alicante - Alacant,Venta,CarmenUlloa Real Estate,4
116 m²,€ 365.000,2 baños,Piso,https://www.indomio.es/anuncios/95988013/,Alicante - Alacant,Venta,RualCasa,5
94 m²,€ 99.000,1 baño,Piso,https://www.indomio.es/anuncios/96002781/,Alicante - Alacant,Venta,Grupo Economicasa Alicante,4
90 m²,€ 160.000,1 baño,Piso,https://www.indomio.es/anuncios/96002239/,Alicante - Alacant,Venta,INMOGLOBAL,3
165 m²,€ 419.000,3 baños,Piso,https://www.indomio.es/anuncios/70134154/,Alicante - Alacant,Venta,Alispain Properties Costablanca,7
155 m²,€ 800.000,3 baños,Piso,https://www.indomio.es/anuncios/89863093/,Alicante - Alacant,Venta,CarmenUlloa Real Estate,7
434 m² ,€ 1.250.000,3+ baños,Casa unifamiliar,https://www.indomio.es/anuncios/95718197/,Alicante - Alacant,Venta,Martínez Rincón Servicios Inmobiliarios,6
203 m²,€ 720.000,2 baños,Piso,https://www.indomio.es/anuncios/91012209/,Alicante - Alacant,Venta,AM Homes,9
291 m²,€ 2.097.000,3+ baños,Edificio,https://www.indomio.es/anuncios/95898803/,Alicante - Alacant,Venta,Mar Y Golf Servicios Inmobiliarios,3
